City_ID,City,Country,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Current Description,Date
471,Skvyra,UA,49.7318,29.6657,2.98,47,14,5.33,few clouds,2022-02-13 10:11:05
472,Shubarshi,KZ,48.5872,57.1869,-1.18,98,100,5.4,snow,2022-02-13 10:11:06
473,Bayshore Gardens,US,27.4253,-82.5904,17.3,76,100,2.06,light rain,2022-02-13 10:11:08
474,Sakakah,SA,29.9697,40.2064,16.11,23,0,2.06,clear sky,2022-02-13 10:11:09
475,Izhma,RU,65.0083,53.9113,-8.12,94,99,2.21,overcast clouds,2022-02-13 10:11:11
476,Nueva Loja,EC,0.0847,-76.8828,21.41,89,95,0.2,light rain,2022-02-13 10:11:12
477,Kasese,UG,0.1833,30.0833,31.22,35,38,1.74,scattered clouds,2022-02-13 10:11:13
478,Sorong,ID,-0.8833,131.25,27.31,75,65,2.49,broken clouds,2022-02-13 10:11:15
479,Tanout,NE,14.9709,8.8879,24.54,10,0,7.49,clear sky,2022-02-13 10:11:17
480,Praia,CV,14.9215,-23.5087,23.34,62,43,9.45,scattered clouds,2022-02-13 10:11:19
481,Teluk Nibung,ID,3.001,99.8164,28.74,72,94,3.6,light rain,2022-02-13 10:11:20
482,Kahului,US,20.8947,-156.47,23.25,79,0,2.57,clear sky,2022-02-13 10:09:51
483,Ranfurly,NZ,-45.1333,170.1,8.69,94,94,1.86,overcast clouds,2022-02-13 10:11:23
484,Amahai,ID,-3.3333,128.9167,24.56,92,100,2.12,moderate rain,2022-02-13 10:11:24
485,San Policarpo,PH,12.1791,125.5072,26.26,80,93,6.29,overcast clouds,2022-02-13 10:11:25
486,Kaka,TM,37.3482,59.6143,13.24,45,2,4.3,clear sky,2022-02-13 10:11:28
487,Okha,RU,53.5739,142.9478,-21.89,99,51,2.46,broken clouds,2022-02-13 10:11:29
488,Flinders,AU,-34.5833,150.8552,21.88,69,12,4.7,few clouds,2022-02-13 10:11:31
489,Naze,JP,28.3667,129.4833,16.36,82,100,3.38,light rain,2022-02-13 10:11:32
490,Apricena,IT,41.7839,15.4437,11.16,63,30,1.25,scattered clouds,2022-02-13 10:11:33
491,Lata,PT,40.1629,-8.3327,11.13,76,99,2.72,overcast clouds,2022-02-13 10:11:35
492,Siderno,IT,38.2779,16.302,16.98,67,6,2.76,clear sky,2022-02-13 10:11:36
493,Abu Kamal,SY,34.4506,40.9171,18.15,29,0,4.87,clear sky,2022-02-13 10:11:37
494,Miraflores,MX,19.2167,-98.8083,10.57,74,50,1.56,scattered clouds,2022-02-13 10:11:39
495,La Celle-Saint-Cloud,FR,48.8503,2.1452,5.51,79,0,5.14,clear sky,2022-02-13 10:08:44
496,Rochefort,FR,45.9167,-1.0,9.94,83,89,3.58,overcast clouds,2022-02-13 10:11:41
497,Odweyne,SO,9.4092,45.064,29.26,17,83,7.17,broken clouds,2022-02-13 10:11:43
498,Lasa,IT,46.6166,10.7002,1.12,41,55,1.67,broken clouds,2022-02-13 10:11:44
499,Yar-Sale,RU,66.8333,70.8333,-20.67,94,100,5.52,overcast clouds,2022-02-13 10:11:45
500,Sai Buri,TH,6.7013,101.6168,28.31,72,24,5.05,few clouds,2022-02-13 10:11:47
501,Tuatapere,NZ,-46.1333,167.6833,11.01,89,97,1.1,overcast clouds,2022-02-13 10:11:48
502,Boguchany,RU,58.3814,97.4531,-17.9,94,100,2.44,overcast clouds,2022-02-13 10:11:50
503,Jacareacanga,BR,-6.2222,-57.7528,22.14,100,100,1.27,overcast clouds,2022-02-13 10:11:52
504,Gat,IL,31.61,34.7642,20.78,44,0,1.62,clear sky,2022-02-13 10:09:33
505,Tongren,CN,27.7172,109.1853,8.27,81,97,0.72,overcast clouds,2022-02-13 10:11:56
506,Bilibino,RU,68.0546,166.4372,-33.68,100,97,0.69,overcast clouds,2022-02-13 10:11:57
507,Mount Pleasant,US,32.7941,-79.8626,13.99,93,100,2.57,overcast clouds,2022-02-13 10:10:11
508,Songjianghe,CN,42.1859,127.479,-12.98,91,65,1.49,broken clouds,2022-02-13 10:12:00
509,Ouargaye,BF,11.5033,0.0572,30.2,9,16,5.25,few clouds,2022-02-13 10:12:01
510,Shenjiamen,CN,29.9576,122.298,7.37,91,100,7.7,light rain,2022-02-13 10:12:02
511,Boundiali,CI,9.5217,-6.4869,28.49,11,1,1.97,clear sky,2022-02-13 10:12:04
512,Lyubashivka,UA,47.8372,30.2598,3.21,52,6,3.39,clear sky,2022-02-13 10:12:05
513,Port Blair,IN,11.6667,92.75,27.67,57,46,4.74,scattered clouds,2022-02-13 10:12:06
514,Bekkevoort,BE,50.9336,4.9667,6.83,68,100,5.66,overcast clouds,2022-02-13 10:12:08
515,Karlstad,SE,59.3793,13.5036,3.31,100,100,8.23,overcast clouds,2022-02-13 10:12:09
516,San Jorge,AR,-31.8962,-61.8598,10.23,58,0,2.36,clear sky,2022-02-13 10:12:11
517,Hamilton,US,39.1834,-84.5333,-6.1,70,100,5.14,overcast clouds,2022-02-13 10:12:12
518,Tahta,EG,26.7693,31.5021,22.1,19,0,3.53,clear sky,2022-02-13 10:12:13
519,Tarbert,GB,55.8628,-5.4162,6.99,96,100,1.75,moderate rain,2022-02-13 10:12:15
520,Mitzic,GA,0.7821,11.549,30.06,52,92,1.87,light rain,2022-02-13 10:12:16
521,Manzanillo,CU,20.3433,-77.1167,22.65,85,1,1.55,clear sky,2022-02-13 10:12:18
522,Bambanglipuro,ID,-7.95,110.2833,25.39,89,100,0.91,overcast clouds,2022-02-13 10:12:19
523,Grand Island,US,40.925,-98.342,-4.33,65,0,5.66,clear sky,2022-02-13 10:12:20
524,Krizevci,HR,46.0219,16.5425,6.56,41,1,1.32,clear sky,2022-02-13 10:12:22
