City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Kavaratti,IN,2022-02-11 07:04:53,10.5669,72.642,80.47,72,100,9.33
111,Tiksi,RU,2022-02-11 07:04:54,71.6872,128.8694,-13.7,93,100,12.21
112,Consett,GB,2022-02-11 07:04:54,54.854,-1.8316,27.36,87,2,3.69
113,Georgetown,MY,2022-02-11 07:00:53,5.4112,100.3354,84.13,79,20,3.44
114,Lewistown,US,2022-02-11 07:04:55,40.5992,-77.5714,31.17,100,0,0.0
115,Yerbogachen,RU,2022-02-11 07:04:55,61.2767,108.0108,-3.91,89,93,5.3
116,Hjelset,NO,2022-02-11 07:04:55,62.7833,7.4833,32.04,80,75,5.75
117,Kaitangata,NZ,2022-02-11 07:04:56,-46.2817,169.8464,62.92,82,67,4.81
118,Iqaluit,CA,2022-02-11 07:03:11,63.7506,-68.5145,-0.31,77,100,4.43
119,Ambilobe,MG,2022-02-11 07:02:08,-13.2,49.05,79.5,84,100,3.04
120,Karratha,AU,2022-02-11 07:04:57,-20.7377,116.8463,91.85,53,13,18.37
121,Talnakh,RU,2022-02-11 07:04:57,69.4865,88.3972,2.21,93,6,12.37
122,Kargil,IN,2022-02-11 07:04:57,34.5667,76.1,-4.52,84,62,3.29
123,Bilma,NE,2022-02-11 07:04:58,18.6853,12.9164,57.36,27,0,6.46
124,Tommot,RU,2022-02-11 07:04:58,58.9564,126.2925,-10.14,91,100,1.66
125,Bethel,US,2022-02-11 07:04:58,41.3712,-73.414,39.81,72,0,0.0
126,Pisco,PE,2022-02-11 07:04:59,-13.7,-76.2167,71.65,73,0,8.05
127,Tromso,NO,2022-02-11 07:04:59,69.6496,18.957,30.22,69,75,19.57
128,Santa Cruz,BO,2022-02-11 07:04:54,-17.8,-63.1667,72.86,88,76,2.3
129,Yellowknife,CA,2022-02-11 07:00:42,62.456,-114.3525,-16.58,84,100,5.99
130,Kapaa,US,2022-02-11 07:05:00,22.0752,-159.319,71.58,72,0,5.75
131,Saskylakh,RU,2022-02-11 07:05:00,71.9167,114.0833,-1.1,92,48,9.98
132,Necochea,AR,2022-02-11 07:00:29,-38.5473,-58.7368,62.04,90,100,16.04
133,Aklavik,CA,2022-02-11 07:05:01,68.2191,-135.0107,-24.92,94,99,5.12
134,Ballarat,AU,2022-02-11 07:01:50,-37.5662,143.8496,64.99,42,100,11.01
135,New Norfolk,AU,2022-02-11 07:05:01,-42.7826,147.0587,67.91,31,16,3.0
136,Kangaatsiaq,GL,2022-02-11 07:06:02,68.3065,-53.4641,0.63,80,100,12.39
137,Mujiayingzi,CN,2022-02-11 07:05:17,42.1167,118.7833,26.11,28,99,3.38
138,Lubango,AO,2022-02-11 07:06:02,-14.9172,13.4925,64.87,67,83,2.66
139,Fribourg,CH,2022-02-11 07:06:03,46.8024,7.1513,41.61,85,100,4.32
140,Kochubey,RU,2022-02-11 07:06:03,44.3861,46.5825,39.24,76,100,14.9
141,Severodvinsk,RU,2022-02-11 07:06:03,64.5635,39.8302,26.71,96,100,6.17
142,Xiuyan,CN,2022-02-11 07:06:04,40.2928,123.2744,34.65,35,83,13.78
143,Rudraprayag,IN,2022-02-11 07:06:04,30.2833,78.9833,66.25,24,0,3.29
144,Hwange,ZW,2022-02-11 07:06:05,-18.3693,26.5019,76.32,72,46,3.24
145,Mana,GF,2022-02-11 07:06:05,5.6592,-53.7767,74.57,89,43,6.31
146,Palmer,US,2022-02-11 07:06:06,42.1584,-72.3287,34.21,86,2,2.08
147,Khandyga,RU,2022-02-11 07:06:06,62.6667,135.6,-26.34,98,74,1.14
148,Hami,CN,2022-02-11 07:06:06,42.8,93.45,31.48,52,23,2.62
149,Linxi,CN,2022-02-11 07:06:07,39.7,118.4333,41.67,31,100,11.7
150,Faya,SA,2022-02-11 07:06:07,18.3851,42.4509,64.92,55,24,5.35
151,Vaini,TO,2022-02-11 07:06:08,-21.2,-175.2,75.36,100,75,11.5
152,Fortuna,US,2022-02-11 07:06:08,40.5982,-124.1573,50.92,87,0,10.36
153,Punta Alta,AR,2022-02-11 07:06:08,-38.8759,-62.0736,64.62,48,100,17.74
154,East London,ZA,2022-02-11 07:06:09,-33.0153,27.9116,75.67,69,13,4.12
155,Noumea,NC,2022-02-11 07:06:09,-22.2763,166.4572,82.99,99,100,18.34
156,Mar Del Plata,AR,2022-02-11 07:02:35,-38.0023,-57.5575,68.88,93,100,9.69
157,Coos Bay,US,2022-02-11 07:06:05,43.3665,-124.2179,45.0,99,0,4.61
158,Cidreira,BR,2022-02-11 07:06:10,-30.1811,-50.2056,73.56,83,0,18.28
159,Rockford,US,2022-02-11 07:03:07,42.2711,-89.094,36.18,80,100,17.27
160,Huntington,US,2022-02-11 07:02:29,38.4193,-82.4452,32.54,75,0,3.44
161,Kurilsk,RU,2022-02-11 07:06:10,45.2333,147.8833,24.22,74,100,6.04
162,Lakatoro,VU,2022-02-11 07:06:11,-16.0999,167.4164,82.72,79,100,10.47
163,Nizhniy Odes,RU,2022-02-11 07:06:11,63.6445,54.856,17.91,93,100,11.63
164,Avera,US,2022-02-11 07:06:12,33.194,-82.5271,52.72,58,87,6.22
165,Khatanga,RU,2022-02-11 07:06:12,71.9667,102.5,-1.5,85,89,13.8
166,Dingle,PH,2022-02-11 07:06:12,10.9995,122.6711,82.83,70,97,14.58
167,Maniitsoq,GL,2022-02-11 07:06:13,65.4167,-52.9,23.83,90,100,16.82
168,Bathsheba,BB,2022-02-11 07:06:13,13.2167,-59.5167,75.81,83,75,23.02
169,Teacapan,MX,2022-02-11 07:06:14,22.55,-105.75,59.31,72,15,3.94
170,Josanicka Banja,RS,2022-02-11 07:06:14,43.3895,20.7503,24.1,82,5,3.2
171,Olafsvik,IS,2022-02-11 07:06:14,64.8945,-23.7142,33.85,60,100,3.18
172,Takoradi,GH,2022-02-11 07:06:15,4.8845,-1.7554,78.58,90,24,4.27
173,Tuatapere,NZ,2022-02-11 07:06:15,-46.1333,167.6833,59.83,80,100,8.7
174,Anloga,GH,2022-02-11 07:06:15,5.7947,0.8973,79.84,86,8,7.25
175,Airai,TL,2022-02-11 07:06:16,-8.9266,125.4092,65.95,91,100,1.34
176,Haines Junction,CA,2022-02-11 07:06:16,60.7522,-137.5108,-2.11,100,100,1.74
177,Kahuta,PK,2022-02-11 07:06:17,33.5913,73.3868,63.84,24,0,4.7
178,Mayo,US,2022-02-11 07:06:17,38.8876,-76.5119,43.75,69,100,3.44
179,Sur,OM,2022-02-11 07:06:17,22.5667,59.5289,74.88,36,0,4.54
180,Hovd,MN,2022-02-11 07:06:18,48.0056,91.6419,-0.17,88,91,4.14
181,Saint George,US,2022-02-11 07:06:18,37.1041,-113.5841,54.95,42,0,8.05
182,Port Macquarie,AU,2022-02-11 07:07:18,-31.4333,152.9167,76.89,66,22,12.93
183,Cabatuan,PH,2022-02-11 07:07:19,10.8794,122.486,82.71,70,99,15.9
184,Taguatinga,BR,2022-02-11 07:07:19,-12.3857,-46.5711,70.75,90,95,2.42
185,Front Royal,US,2022-02-11 07:02:52,38.9182,-78.1944,41.81,61,1,3.0
186,Seymchan,RU,2022-02-11 07:07:20,62.8833,152.4333,-34.96,99,98,0.63
187,San Patricio,US,2022-02-11 07:07:20,28.017,-97.5169,57.81,79,100,4.68
188,Pevek,RU,2022-02-11 07:07:20,69.7008,170.3133,-24.32,97,100,7.58
189,Barreirinhas,BR,2022-02-11 07:07:21,-2.7469,-42.8264,73.51,95,97,3.74
190,Saldanha,ZA,2022-02-11 07:07:21,-33.0117,17.9442,66.04,78,0,12.19
191,Esperance,AU,2022-02-11 07:07:21,-33.8667,121.9,111.04,27,11,12.66
192,Gali,GE,2022-02-11 07:07:22,42.6265,41.7381,41.47,72,75,3.0
193,Namibe,AO,2022-02-11 07:07:22,-15.1961,12.1522,75.25,71,95,1.25
194,Rohru,IN,2022-02-11 07:07:23,31.2167,77.75,48.69,24,0,4.12
195,Roald,NO,2022-02-11 07:07:24,62.5833,6.1333,32.9,74,75,12.66
196,Batang Berjuntai,MY,2022-02-11 07:03:24,3.3833,101.4167,84.45,82,100,1.99
197,Itarema,BR,2022-02-11 07:07:24,-2.9248,-39.9167,76.1,85,63,5.77
198,Deputatskiy,RU,2022-02-11 07:07:24,69.3,139.9,-9.74,92,100,4.65
199,Pavilosta,LV,2022-02-11 07:07:25,56.8879,21.1859,37.31,69,99,16.13
200,San Carlos De Bariloche,AR,2022-02-11 07:07:25,-41.1456,-71.3082,35.35,55,0,6.91
201,Gondar,ET,2022-02-11 07:07:25,12.6,37.4667,70.09,34,13,2.84
202,Abonnema,NG,2022-02-11 07:07:26,4.7084,6.7931,79.11,86,15,4.61
203,Hilo,US,2022-02-11 07:07:26,19.7297,-155.09,71.33,89,100,5.75
204,Lashio,MM,2022-02-11 07:07:27,22.9333,97.75,78.69,22,6,4.32
205,Millet,CA,2022-02-11 07:07:27,53.1001,-113.4687,31.84,78,95,13.96
206,Juneau,US,2022-02-11 07:07:27,58.3019,-134.4197,30.97,94,98,3.85
207,Nador,MA,2022-02-11 07:07:28,35.174,-2.9287,46.65,93,20,3.44
208,Tynne,UA,2022-02-11 07:07:28,50.6015,26.1849,40.75,87,40,8.99
209,Katsuura,JP,2022-02-11 07:07:28,35.1333,140.3,49.1,52,9,12.95
210,Vestmannaeyjar,IS,2022-02-11 07:07:29,63.4427,-20.2734,35.92,62,100,6.22
211,Los Llanos De Aridane,ES,2022-02-11 07:03:33,28.6585,-17.9182,66.13,33,0,8.99
212,Pangnirtung,CA,2022-02-11 07:07:29,66.1451,-65.7125,-1.71,96,100,9.06
213,Udupi,IN,2022-02-11 07:02:37,13.35,74.75,94.24,30,7,8.55
214,Tsalenjikha,GE,2022-02-11 07:07:30,42.6044,42.0682,39.09,77,65,1.83
215,Ballina,AU,2022-02-11 07:07:30,-28.8667,153.5667,78.98,73,4,19.6
216,Narsaq,GL,2022-02-11 07:03:12,60.9167,-46.05,19.62,64,100,8.03
217,Summerland,CA,2022-02-11 07:07:31,49.5998,-119.6691,36.09,94,30,2.3
218,Urucara,BR,2022-02-11 07:07:31,-2.5364,-57.76,72.72,98,93,2.35
219,Villablino,ES,2022-02-11 07:07:31,42.9393,-6.3194,40.77,94,98,3.76
220,Bekobod,UZ,2022-02-11 07:07:32,40.2208,69.2697,44.29,38,100,26.91
221,Novopokrovka,UA,2022-02-11 07:07:32,49.8425,36.5477,34.18,99,100,9.35
222,Fort Saint James,CA,2022-02-11 07:07:33,54.4333,-124.25,21.81,93,88,2.13
223,Nantucket,US,2022-02-11 07:05:58,41.2835,-70.0995,40.01,71,31,10.09
224,Paraiso,CR,2022-02-11 07:07:33,9.8383,-83.8656,65.26,100,72,3.27
225,Renqiu,CN,2022-02-11 07:07:34,38.6989,116.0936,47.17,31,100,6.6
226,Tuktoyaktuk,CA,2022-02-11 07:07:34,69.4541,-133.0374,-16.56,94,100,23.31
227,Labrea,BR,2022-02-11 07:07:34,-7.2586,-64.7981,72.37,99,100,1.01
228,Waingapu,ID,2022-02-11 07:07:35,-9.6567,120.2641,84.56,71,96,5.21
229,Vardo,NO,2022-02-11 07:08:35,70.3705,31.1107,19.38,93,0,27.63
230,Sakakah,SA,2022-02-11 07:08:35,29.9697,40.2064,50.0,58,5,7.16
231,Alice Springs,AU,2022-02-11 07:08:36,-23.7,133.8833,89.15,18,0,13.8
232,Bahia Blanca,AR,2022-02-11 07:08:36,-38.7196,-62.2724,64.27,46,100,14.47
233,San Rafael,AR,2022-02-11 07:06:31,-34.6177,-68.3301,67.6,52,100,9.95
234,Price,US,2022-02-11 07:08:37,39.5994,-110.8107,43.86,49,0,4.61
235,Marawi,PH,2022-02-11 07:06:50,7.9986,124.2928,69.66,86,99,5.79
236,Balabac,PH,2022-02-11 07:08:37,7.9868,117.0645,81.95,79,100,17.96
237,Mayumba,GA,2022-02-11 07:08:38,-3.432,10.6554,77.7,86,95,8.19
238,Laguna,US,2022-02-11 07:08:38,38.421,-121.4238,62.96,77,0,3.44
239,Oistins,BB,2022-02-11 07:08:38,13.0667,-59.5333,75.29,83,75,23.02
240,Gat,IL,2022-02-11 07:08:39,31.61,34.7642,52.92,100,36,3.27
241,Pedernales,DO,2022-02-11 07:08:39,18.0384,-71.744,74.91,69,2,6.04
242,Klaksvik,FO,2022-02-11 07:08:39,62.2266,-6.589,36.52,68,75,23.64
243,Suna,RU,2022-02-11 07:08:40,57.8338,50.0588,19.09,94,100,8.55
244,Buncrana,IE,2022-02-11 07:08:40,55.1333,-7.45,35.37,85,100,6.8
245,Zhigansk,RU,2022-02-11 07:08:41,66.7697,123.3711,-20.16,97,100,12.44
246,Isangel,VU,2022-02-11 07:08:41,-19.55,169.2667,80.53,85,100,17.76
247,Kudahuvadhoo,MV,2022-02-11 07:08:42,2.6708,72.8944,81.99,74,100,9.86
248,Ilulissat,GL,2022-02-11 07:08:42,69.2167,-51.1,-0.38,65,100,6.91
249,Chake Chake,TZ,2022-02-11 07:08:42,-5.2459,39.7666,85.08,60,94,10.25
250,Kedougou,SN,2022-02-11 07:08:43,12.5579,-12.1743,69.44,14,0,4.12
251,Atherton,GB,2022-02-11 07:07:35,53.5237,-2.4935,39.69,91,63,2.73
252,Merauke,ID,2022-02-11 07:08:43,-8.4667,140.3333,85.82,65,98,6.04
253,Ndele,CF,2022-02-11 07:08:43,8.4109,20.6473,76.93,14,54,7.72
254,Constantine,DZ,2022-02-11 07:08:44,36.365,6.6147,31.41,80,0,0.0
255,Quatre Cocos,MU,2022-02-11 07:08:44,-20.2078,57.7625,84.31,70,29,7.87
256,Bambanglipuro,ID,2022-02-11 07:08:45,-7.95,110.2833,85.93,61,72,8.55
257,Ostrovnoy,RU,2022-02-11 07:08:45,68.0531,39.5131,22.64,87,100,17.69
258,Vostok,RU,2022-02-11 07:08:45,46.4856,135.8833,20.7,90,100,2.53
259,Severo-Kurilsk,RU,2022-02-11 07:08:46,50.6789,156.125,26.28,79,98,2.8
260,Fountain Hills,US,2022-02-11 07:05:54,33.6117,-111.7174,66.92,29,0,8.05
261,Amuntai,ID,2022-02-11 07:08:46,-2.4177,115.2494,85.86,68,100,2.46
262,Thap Khlo,TH,2022-02-11 07:08:47,16.16,100.5966,94.84,48,95,7.18
263,Cap-Aux-Meules,CA,2022-02-11 07:08:47,47.3821,-61.8597,31.32,96,100,22.12
264,Boende,CD,2022-02-11 07:08:47,-0.2167,20.8667,81.99,57,99,3.76
265,Iralaya,HN,2022-02-11 07:08:48,15.0,-83.2333,75.96,82,9,8.39
266,Shitanjing,CN,2022-02-11 07:08:48,39.2342,106.3439,33.82,44,8,4.12
267,Pyaozerskiy,RU,2022-02-11 07:08:48,65.8333,31.1667,20.48,97,97,4.56
268,Manta,EC,2022-02-11 07:08:49,-0.95,-80.7333,73.0,87,100,7.11
269,Sistranda,NO,2022-02-11 07:08:49,63.7256,8.834,32.9,55,100,26.13
270,Rawah,IQ,2022-02-11 07:08:49,34.4816,41.9093,53.64,57,79,7.0
271,Byron Bay,AU,2022-02-11 07:08:50,-28.65,153.6167,80.87,63,1,19.24
272,Dong Xoai,VN,2022-02-11 07:08:50,11.5333,106.9167,95.59,35,100,5.12
273,Gorlice,PL,2022-02-11 07:08:51,49.6556,21.1604,41.76,100,100,4.05
274,Matara,LK,2022-02-11 07:08:51,5.9485,80.5353,87.78,57,32,8.99
275,Chokurdakh,RU,2022-02-11 07:09:51,70.6333,147.9167,-22.29,97,100,11.48
276,Vestmanna,FO,2022-02-11 07:09:52,62.1564,-7.1664,34.72,87,75,20.71
277,Panguna,PG,2022-02-11 07:09:52,-6.3164,155.4848,68.99,98,100,3.58
278,Upernavik,GL,2022-02-11 07:09:52,72.7868,-56.1549,-21.32,85,83,7.25
